news_id,title,content,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date,provincia,comunidad,cluster
2989258,"La banda de José 'El Gallego': los guardia civiles corruptos que robaban a los narcos, a prisión 10 años","El grupo criminal, conformado por 4 guardia civiles, un culturista, un hostelero y un guardia de seguridad, pasará entre 7 y 10 años en la cárcel. Primero simularon ser compradores de droga y negociaron una operación de 100 kilos de hachís con traficantes marroquíes. En el momento de la entrega simularon ser agentes de servicio en una operación oficial y robaron la mercancía.",415,1400.0,305,138,277,1,Política y Sociedad,55,2018-08-01 00:50:04,Psicótico,elespanol.com,https://www.elespanol.com/reportajes/20180731/jose-gallego-guardia-civiles-corruptos-robaban-prision/325218604_0.html,2025-02-27 16:02:42,,,1
2989496,Samanta Villar: “Voy a hablar de un tema tabú”,"Hoy, 31 de julio, son incontables los redactores, guionistas, cámaras, montadores, productores y demás gente que crea la televisión que no cobra las vacaciones. No es que no las tengan. Es que no las cobran.",598,8893.0,351,212,386,4,Entretenimiento y Cultura,73,2018-08-01 00:00:04,--530071--,iniciativadebate.net,https://iniciativadebate.net/2018/07/31/samanta-villar-voy-a-hablar-de-un-tema-tabu/,2025-02-27 16:02:42,,,1
2989375,Muere un ciclista tras chocar con un corzo en la sierra de Madrid,"Un ciclista ha muerto este martes al chocar con un corzo mientras descendía en bicicleta la zona de Rascafría, en la sierra madrileña, sin que los sanitarios del Servicio de Urgencia Médica de Madrid (Summa) pudiesen hacer nada por reanimarle.",192,2745.0,296,79,113,4,Política y Sociedad,138,2018-07-31 23:45:03,Cubillina,amp.20minutos.es,https://amp.20minutos.es/noticia/3407852/0/muere-ciclista-chocar-corzo-sierra-madrid/?__twitter_impression=true,2025-02-27 16:02:42,Madrid,Madrid,1
2988749,Hemateno: el nuevo material 2D… ¿mejor que el grafeno?,"El grafeno, sintetizado en 2004, lleva ya unos cuantos años llamado a ser el material del futuro. Entre sus numerosas ventajas encontramos que es muy resistente y conductor, además de ser ligero y de apenas unos pocos átomos de espesor. Ahora, un grupo de científicos brasileños ha creado un nuevo material en dos dimensiones llamado hemateno.",126,2873.0,303,54,72,2,Entretenimiento y Cultura,54,2018-07-31 23:25:05,darkdll,adslzone.net,https://www.adslzone.net/2018/07/30/hemateno-grafeno/,2025-02-27 16:02:42,,,1
2989432,El Gobierno se opone a que Juana Rivas entre en prisión antes de que se resuelva su recurso,"La vicepresidenta del Gobierno y ministra de Igualdad, Carmen Calvo, ha afirmado este martes que al Gobierno ""le preocupa"" que Juana Rivas, que fue condenada a cinco años de cárcel por no entregar a sus hijos a su padre, entre en prisión preventiva antes de que se resuelva el recurso que ha presentado. ""Al Gobierno lo que nos preocupa, con el escrupuloso respeto al Poder Judicial, es que señora Rivas no entre en prisión preventiva"" antes de que se resuelva su recurso, ha dicho Calvo al término de la Conferencia Sectorial de Igualdad.",425,827.0,289,165,260,7,Política y Sociedad,281,2018-07-31 23:05:04,a...................a,20minutos.es,https://www.20minutos.es/noticia/3408027/0/calvo-gobierno-preocupa-juana-rivas-entre-prision/,2025-02-27 16:02:42,,,1
2989497,Histórica condena a Médicos Sin Fronteras por los abusos laborales a sus captadores,La Confederación Nacional del Trabajo (CNT) ha informado de la condena a la ONG Médicos Sin Fronteras por la existencia de 'cláusulas abusivas' en los contratos de su equipo de captación .,714,2080.0,314,228,486,0,Política y Sociedad,43,2018-07-31 22:45:04,xabonda,galiciapress.es,https://www.galiciapress.es/texto-diario/mostrar/1149716/cnt-cree-condena-medicos-fronteras-clausulas-equipo-captacion-marca-antes-despues,2025-02-27 16:02:42,,,1
2989510,"Juliana Morell, la vida de la catalana que se doctoró a los 14 años","La primera mujer en conseguir un doctorado en todo el mundo, de la que se tiene constancia, es Juliana Morell. En 1608 y con tan solo 14 años, esta mujer nacida en Barcelona defendió su tesis en Dialéctica y Ética con la obra Oración recitada ante Pablo V en el palacio pontificio de Aviñón. Sus conocimientos le permitieron obtener el grado de doctora summa cum laude. No obstante, Morell ya había demostrado importantes dotes intelectuales: con apenas cuatro años, los monjes dominicos que la educaban aseguraron que “no podían enseñarle nada más”.",275,1822.0,314,120,155,6,Entretenimiento y Cultura,95,2018-07-31 22:15:03,--526496--,lamarea.com,https://www.lamarea.com/2018/07/30/juliana-morell-la-catalana-que-se-doctoro-a-los-14-anos/,2025-02-27 16:02:42,Barcelona,Cataluña,1
2989501,Imputado todo el equipo de Gallardón en la Comunidad de Madrid por el caso Lezo,"El juez que investiga la compra, presuntamente irregular, de la empresa Inassa por parte del Canal de Isabel II ha citado a declarar como investigados a seis exconsejeros más del equipo Alberto Ruíz-Gallardón.",1066,1070.0,348,333,733,0,Política y Sociedad,45,2018-07-31 21:15:03,Ratoncolorao,publico.es,https://www.publico.es/politica/tribunales/imputado-equipo-gallardon-comunidad-madrid-caso-lezo.html,2025-02-27 16:02:42,Madrid,Madrid,0
2989481,Esto es lo que pasa cuando un desconocido decide arruinarte la vida por Internet,"Monika Glennon ha vivido en Huntsville, Alabama, durante los últimos 12 años. Tiene un fuerte acento polaco, pero por lo demás encaja con el estereotipo de los All-American. Es rubia. Su esposo es un veterano de la Marina. Sus dos hijos, un niño y una niña, se unieron al ejército al llegar a adultos. Y ella vende casas: es una agente de bienes raíces en Re/Max que ayuda a otros a realizar su propio sueño americano.",311,15914.0,329,131,180,1,Tecnología y Ciencia,62,2018-07-31 20:55:26,--530071--,es.gizmodo.com,https://es.gizmodo.com/esto-es-lo-que-pasa-cuando-un-desconocido-decide-arruin-1827968012,2025-02-27 16:02:42,,,1
2989260,Empiezan a llegar las primeras consolas ZX Spectrum Vega+ [ENG],"Tras más de dos años de retraso, de demandas interpuestas y de que Indigogo pusiera en marcha un proceso para tratar de recuperar el dinero de los patrocinadores por entender que la campaña era una estafa, Retro Computers anunció la semana pasada que enviaría un primer lote de 400 consolas ZX Spectrum Vega+ (de las más de 5000 que se vendieron). Hasta en quince ocasiones han anunciado fallidamente el envío de las consolas, sin embargo, en esta ocasión parece que sí están empezando a llegar a sus destinatarios.",100,4357.0,348,47,53,1,Tecnología y Ciencia,37,2018-07-31 20:55:04,metrosesuarl,eurogamer.net,https://www.eurogamer.net/amp/2018-07-30-backers-have-started-to-receive-the-beleaguered-zx-spectrum-vega-plus-but-early-impressions-arent-great,2025-02-27 16:02:42,,,1
